site	year	env	plot	Ntrt	rep	dm
Lam	2009	L09	112	224	1	5.39
Lam	2009	L09	113	168	1	5.36
Lam	2009	L09	114	56	1	4.4
Lam	2009	L09	115	168	1	4.19
Lam	2009	L09	116	224	1	4.16
Lam	2009	L09	117	0	1	3.49
Lam	2009	L09	118	112	1	3.78
Lam	2009	L09	119	168	1	4.66
Lam	2009	L09	120	0	1	1.93
Lam	2009	L09	121	112	1	4.85
Lam	2009	L09	122	0	1	3.78
Lam	2009	L09	123	112	1	4.21
Lam	2009	L09	124	112	1	3.62
Lam	2009	L09	125	56	1	3.57
Lam	2009	L09	201	168	2	5.1
Lam	2009	L09	202	112	2	7.3
Lam	2009	L09	203	0	2	3.07
Lam	2009	L09	204	168	2	5.44
Lam	2009	L09	205	112	2	4.47
Lam	2009	L09	206	56	2	4.31
Lam	2009	L09	207	168	2	4.8
Lam	2009	L09	208	224	2	5.9
Lam	2009	L09	209	224	2	3.79
Lam	2009	L09	210	112	2	4.55
Lam	2009	L09	211	224	2	5.04
Lam	2009	L09	212	0	2	3.19
Lam	2009	L09	213	0	2	3.76
Lam	2009	L09	214	56	2	5.48
Lam	2009	L09	215	112	2	5.33
Lam	2009	L09	216	56	2	4.09
Lam	2009	L09	217	0	2	2.93
Lam	2009	L09	218	224	2	5.59
Lam	2009	L09	219	224	2	6.61
Lam	2009	L09	220	56	2	3.21
Lam	2009	L09	221	56	2	4.78
Lam	2009	L09	222	0	2	2.97
Lam	2009	L09	223	168	2	3.6
Lam	2009	L09	224	168	2	4.33
Lam	2009	L09	225	112	2	4.16
Lam	2009	L09	301	56	3	5.41
Lam	2009	L09	302	168	3	4.39
Lam	2009	L09	303	0	3	3.32
Lam	2009	L09	304	224	3	4.52
Lam	2009	L09	305	56	3	4.22
Lam	2009	L09	306	168	3	5.45
Lam	2009	L09	307	112	3	4.87
Lam	2009	L09	308	224	3	5.34
Lam	2009	L09	309	0	3	3.11
Lam	2009	L09	310	112	3	3.66
Lam	2009	L09	311	168	3	4.94
Lam	2009	L09	312	56	3	4.16
Lam	2009	L09	313	224	3	7.14
Lam	2009	L09	314	0	3	3.76
Lam	2009	L09	315	0	3	3.35
Lam	2009	L09	316	112	3	3.99
Lam	2009	L09	317	224	3	4.72
Lam	2009	L09	318	112	3	5.31
Lam	2009	L09	319	168	3	5.29
Lam	2009	L09	320	112	3	3.25
Lam	2009	L09	321	224	3	4.6
Lam	2009	L09	322	56	3	4.93
Lam	2009	L09	323	0	3	2.72
Lam	2009	L09	324	168	3	3.76
Lam	2009	L09	325	56	3	5.34
Lam	2009	L09	401	0	4	3.69
Lam	2009	L09	402	224	4	5.48
Lam	2009	L09	403	224	4	5.1
Lam	2009	L09	404	56	4	4.06
Lam	2009	L09	405	112	4	4.26
Lam	2009	L09	406	224	4	5.9
Lam	2009	L09	407	112	4	4.45
Lam	2009	L09	408	56	4	4.24
Lam	2009	L09	409	224	4	3.53
Lam	2009	L09	410	168	4	4.62
Lam	2009	L09	411	112	4	4.87
Lam	2009	L09	412	0	4	4.32
Lam	2009	L09	413	168	4	5.99
Lam	2009	L09	414	56	4	5.27
Lam	2009	L09	415	112	4	5.69
Lam	2009	L09	416	168	4	4.56
Lam	2009	L09	417	56	4	4.54
Lam	2009	L09	418	56	4	3.86
Lam	2009	L09	419	0	4	4.1
Lam	2009	L09	420	168	4	4.73
Lam	2009	L09	421	0	4	5.37
Lam	2009	L09	422	0	4	3.6
Lam	2009	L09	423	224	4	4.74
Lam	2009	L09	424	168	4	4.51
Lam	2009	L09	425	112	4	4.4
Ros	2009	R09	101	56	1	4.96
Ros	2009	R09	102	112	1	5.47
